,Course Name,University,Location,Cost,Cost per,Duration,Extra
1841,Electrical Engineering and Computer Science, Shibaura Institute of Technology ," Tokyo, Japan ",11363 EUR,year,2 years,M.Sc. Full-time
1842,Cybersecurity, California State University San Marcos ," San Marcos, California, United States ",13775 EUR,year,1 year,M.Sc. Full-time
1843,Operations Research and Analytics, London School of Economics and Political Science ," London, England, United Kingdom ",29387 EUR,year,1 year,M.Sc. Full-time
1844,Information Technology, La Trobe University , Multiple locations ,23671 EUR,year,2 years,Full-time Part-time
1845,Adult and Higher Education - Lifelong and E-Learning, University of Central Oklahoma ," Edmond, Oklahoma, United States ",11094 EUR,year,1 year,M.Ed. Full-time
1846,Applied Computer Science, Columbus State University ," Columbus, Georgia, United States ",8096 EUR,year,1 year,M.Sc. Full-time
1847,Systems Medicine, Georgetown University ," Washington, D. C., Washington, D.C., United States ",45210 EUR,year,10 months,M.Sc. Full-time
1848,Animation, Aalto University ," Helsinki, Finland ",15000 EUR,year,2 years,M.Sc. Full-time
1849,Health Data Analytics, University College London (UCL) , Multiple locations ,16602 EUR,year,2 years,M.Sc. Part-time Online
1850,Computer Science, East Stroudsburg University ," East Stroudsburg, Pennsylvania, United States ",579 EUR,credit,1 year,M.Sc. Full-time
1851,Computer Science, The City University of New York ," New York City, New York, United States ",706 EUR,credit,1 year,M.A. Full-time
1852,Software Engineering and Database Technologies," National University of Ireland, Galway ", Online ,5300 EUR,year,2 years,M.Sc. Part-time
1853,Computer Science, Georgia State University ," Atlanta, Georgia, United States ",24953 EUR,year,1 year,M.Sc. Full-time
1854,Geographical Information Science, The University of Edinburgh ," Edinburgh, Scotland, United Kingdom ",33087 EUR,year,1 year,M.Sc. Full-time Part-time
1855,Information Technology, RMIT University ," Melbourne, Victoria, Australia ",23213 EUR,year,2 years,Full-time Part-time
1856,Computer Science, Ryerson University ," Toronto, Canada ",16168 EUR,year,2 years,M.Sc. Full-time
1857,Artificial Intelligence, Maastricht University ," Maastricht, Netherlands ",16800 EUR,year,2 years,M.Sc. Full-time
1858,Computer Science, International Islamic University of Malaysia ," Kuala Lumpur, Malaysia ",2210 EUR,year,2 years,M.Sc. Full-time Part-time
1859,Business Analytics, Nanyang Technological University ," Singapore, Singapore ",32400 EUR,year,1 year,M.Sc. Full-time Part-time
1860,Software Engineering, Cardiff University ," Cardiff, Wales, United Kingdom ",,,1 year,M.Sc. Full-time
1861,Health Informatics, Mercer University ," Macon, Georgia, United States ",537 EUR,credit,2 years,M.Sc. Full-time
1862,Software Engineering, Harvard University ," Cambridge, Massachusetts, United States ",28904 EUR,year,1 year,Postgraduate Certificate Full-time Blended Learning
1863,Data Science, Liverpool John Moores University ," Liverpool, England, United Kingdom ",18757 EUR,year,1 year,M.Sc. Full-time
1864,Data Science, edX - online learning platform , Online ,8258 EUR,year,1½ years,Part-time
1865,Measurement and Control Engineering, Idaho State University ," Idaho Falls, Idaho, United States ",21923 EUR,year,1 year,M.Sc. Full-time Blended Learning
1866,Internet and Society, University of Zurich ," Zürich, Switzerland ",1312 EUR,year, ,Full-time
1867,Software Engineering, West Virginia University , Online ,552 EUR,credit,2 years,M.Sc. Part-time
1868,Cyberspace Security, Wuhan University ," Wuhan, China ",4825 EUR,year,2 years,Full-time
1869,Digital Systems Engineering, University of York ," York, England, United Kingdom ",26470 EUR,year,1 year,M.Sc. Full-time
1870,Computer Science, Oregon State University ," Corvallis, Oregon, United States ",9712 EUR,year,2 years,Full-time
1871,Computational Mathematics, Heriot-Watt University ," Dubai, United Arab Emirates ",18305 EUR,year,1 year,M.Sc. Full-time Part-time
1872,Computational Cognitive Science, University of Groningen ," Groningen, Netherlands ",18500 EUR,year,2 years,M.Sc. Full-time
1873,Software Engineering and Technology, Chalmers University of Technology ," Göteborg, Sweden ",13816 EUR,year,2 years,M.Sc. Full-time
1874,High Performance Computing, The University of Edinburgh ," Edinburgh, Scotland, United Kingdom ",34485 EUR,year,1 year,Full-time Part-time
1875,Latin American Studies with GIS Certificate, University of Miami ," Miami, Florida, United States ",32257 EUR,year,1 year,M.A. Full-time
1876,Computational Decision Science and Operations Research, Illinois Institute of Technology ," Chicago, Illinois, United States ",1333 EUR,credit,1 year,M.Sc. Full-time
1877,Information Science and Technology, Missouri University of Science and Technology ," Missouri City, Texas, United States ",24195 EUR,year,1 year,M.Sc. Full-time
1878,Systems Engineering, Missouri University of Science and Technology ," Missouri City, Texas, United States ",19424 EUR,year,1 year,M.Sc. Full-time
1879,Cybersecurity, University of Dallas ," Dallas, Texas, United States ",1032 EUR,credit,1 year,M.Sc. Full-time Online
1880,Data Science (Coursework), University of Malaya ," Kuala Lumpur, Malaysia ",6663 EUR,year,1 year,Full-time
1881,Electronics and Computer Engineering, INSA Rennes ," Rennes, France ",10000 EUR,year,5 years,Full-time
1882,Electrical Engineering - Signal Processing and Machine Learning, University of Wisconsin Madison ," Madison, Wisconsin, United States ",21080 EUR,year,1 year,M.Sc. Full-time
1883,Computer Science and Business Studies, Roskilde University ," Roskilde, Denmark ",10500 EUR,year,2 years,M.Sc. Full-time
1884,Bioinformatics - Bioscience Engineering, Ghent University , Multiple locations ,1862 EUR,year,2 years,M.Sc. Full-time
1885,Computer Games Programming, Teesside University ," Middlesbrough, England, United Kingdom ",15146 EUR,year,1 year,M.Sc. Full-time Part-time Online
1886,Computer Networking with Project Management, University of Bedfordshire ," Luton, England, United Kingdom ",9087 EUR,year,2 years,M.Sc. Full-time Part-time
1887,Computer Science, Tennessee State University ," Nashville, North Carolina, United States ",10951 EUR,year,1 year,M.Sc. Full-time
1888,Advanced Computer Science with Advanced Practice, Northumbria University ," Newcastle upon Tyne, England, United Kingdom ",22136 EUR,year,2 years,M.Sc. Full-time
1889,Health Informatics, Grand Canyon University , Online ,438 EUR,credit, ,M.Sc. Part-time
1890,Digital and Media, Rhode Island School of Design ," Providence, Rhode Island, United States ",44446 EUR,year,1 year,Full-time
1891,Data Science, Saint Mary's College , Online ,557 EUR,credit,2 years,M.Sc. Full-time
1892,Civil and Environmental Engineering (Computational Mechanics and Scientific Computing track), Duke University ," Durham, North Carolina, United States ",47816 EUR,year,2 years,M.Sc. Full-time
1893,Data Visualisation, University of the Arts London (UAL) ," London, England, United Kingdom ",21362 EUR,year,"1 year, 3 months",M.A. Full-time
1894,Software Engineering, International Technological University ," San Jose, California, United States ",578 EUR,credit,2 years,M.Sc. Full-time
1895,Business Administration and Information Systems, Copenhagen Business School (CBS) ," Copenhagen, Denmark ",15200 EUR,year,2 years,M.Sc. Full-time
1896,Advanced Computer Science, University of Cambridge ," Cambridge, England, United Kingdom ",41956 EUR,year,9 months,M.Phil. Full-time
1897,Industrial Engineering, University of Illinois at Chicago ," Chicago, Illinois, United States ",20430 EUR,year,2 years,M.Sc. Full-time
1898,Cybersecurity, ECPI University ," Virginia Beach, Virginia, United States ",10703 EUR,year,1½ years,M.Sc. Full-time Online
1899,Animation (part-time), Ulster University ," Belfast, N Ireland, United Kingdom ",17371 EUR,year,1 year,M.A. Full-time
1900,Computational Mechanics, Swansea University ," Swansea, Wales, United Kingdom ",10777 EUR,year,2 years,M.Sc. Full-time
1901,Robotics, University of Bristol ," Bristol, England, United Kingdom ",29825 EUR,year,1 year,M.Sc. Full-time Part-time
1902,Financial Engineering, University of Birmingham ," Birmingham, England, United Kingdom ",25584 EUR,year,1 year,M.Sc. Full-time
1903,Computational Neuroscience and Cognitive Robotics, University of Birmingham ," Birmingham, England, United Kingdom ",22649 EUR,year,1 year,M.Sc. Full-time Part-time
1904,Human Computer Interaction, University of Birmingham ," Birmingham, England, United Kingdom ",29569 EUR,year,1 year,M.Sc. Full-time
1905,Robotics, University of Birmingham ," Birmingham, England, United Kingdom ",29184 EUR,year,1 year,M.Sc. Full-time
1906,Big Data Analytics for Business, IÉSEG School of Management ," Lille, France ",16900 EUR,year,1 year,M.Sc. Full-time
1907,Business Analytics, York University - Schulich School of Business ," Toronto, Canada ",36292 EUR,year,1 year,Full-time
1908,Digital Humanities (by Research), Swansea University ," Swansea, Wales, United Kingdom ",17942 EUR,year,1 year,M.A. Full-time Part-time
1909,Computer Modelling in Engineering, Swansea University ," Swansea, Wales, United Kingdom ",24175 EUR,year,1 year,M.Res. Full-time
1910,Computing and Future Interaction Technologies, Swansea University ," Swansea, Wales, United Kingdom ",22835 EUR,year,1 year,M.Res. Full-time Part-time
1911,Human Computer Interaction (by Research), Swansea University ," Swansea, Wales, United Kingdom ",22835 EUR,year,1 year,M.Sc. Full-time Part-time
1912,Logic and Computation, Swansea University ," Swansea, Wales, United Kingdom ",22835 EUR,year,1 year,M.Res. Full-time Part-time
1913,Theoretical Computer Science (by Research), Swansea University ," Swansea, Wales, United Kingdom ",22835 EUR,year,1 year,M.Sc. Full-time Part-time
1914,Visual and Interactive Computing (by Research), Swansea University ," Swansea, Wales, United Kingdom ",22835 EUR,year,1 year,M.Sc. Full-time Part-time
1915,Visual Computing, Swansea University ," Swansea, Wales, United Kingdom ",22835 EUR,year,1 year,M.Res. Full-time
1916,Computer Science (by Research), Swansea University ," Swansea, Wales, United Kingdom ",22835 EUR,year,1 year,M.Sc. Full-time Part-time
1917,Computer Science, Swansea University ," Swansea, Wales, United Kingdom ",22835 EUR,year,2 years,M.Phil. Full-time Part-time
1918,Human Geography, Swansea University ," Swansea, Wales, United Kingdom ",22311 EUR,year,2 years,M.Phil. Full-time Part-time
1919,Physical Geography, Swansea University ," Swansea, Wales, United Kingdom ",22311 EUR,year,2 years,M.Phil. Full-time Part-time
1920,Computing and Future Interaction Technologies, Swansea University ," Swansea, Wales, United Kingdom ",22835 EUR,year,1 year,M.Res. Full-time Part-time
1921,Human Computer Interaction (by Research), Swansea University ," Swansea, Wales, United Kingdom ",22835 EUR,year,1 year,M.Sc. Full-time Part-time
1922,Logic and Computation, Swansea University ," Swansea, Wales, United Kingdom ",22835 EUR,year,1 year,M.Res. Full-time Part-time
1923,Theoretical Computer Science (by Research), Swansea University ," Swansea, Wales, United Kingdom ",22835 EUR,year,1 year,M.Sc. Full-time Part-time
1924,Visual and Interactive Computing (by Research), Swansea University ," Swansea, Wales, United Kingdom ",22835 EUR,year,1 year,M.Sc. Full-time Part-time
1925,Visual Computing, Swansea University ," Swansea, Wales, United Kingdom ",22835 EUR,year,1 year,M.Res. Full-time
1926,Computer Science (by Research), Swansea University ," Swansea, Wales, United Kingdom ",22835 EUR,year,1 year,M.Sc. Full-time Part-time
1927,Computer Science, Swansea University ," Swansea, Wales, United Kingdom ",22835 EUR,year,2 years,M.Phil. Full-time Part-time
1928,Human Geography, Swansea University ," Swansea, Wales, United Kingdom ",22311 EUR,year,2 years,M.Phil. Full-time Part-time
1929,Physical Geography, Swansea University ," Swansea, Wales, United Kingdom ",22311 EUR,year,2 years,M.Phil. Full-time Part-time
1930,Health Data Science, Swansea University Medical School ," Swansea, Wales, United Kingdom ",21320 EUR,year,1 year,Full-time Part-time
1931,Advanced Computing Technologies, Postgraduate courses ," London, England, United Kingdom ",18664 EUR,year,1 year,M.Sc. Full-time
1932,Business Innovation with E-Business, Postgraduate courses ," London, England, United Kingdom ",21880 EUR,year,1 year,M.Sc. Full-time
1933,Cognition and Computation, Postgraduate courses ," London, England, United Kingdom ",19922 EUR,year,1 year,M.Sc. Full-time
1934,Computer Science, Postgraduate courses ," London, England, United Kingdom ",18664 EUR,year,1 year,M.Sc. Full-time
1935,Computing for the Financial Services, Postgraduate courses ," London, England, United Kingdom ",18664 EUR,year,1 year,M.Sc. Full-time
1936,Film Programming and Curating, Postgraduate courses ," London, England, United Kingdom ",18664 EUR,year,1 year,M.A. Full-time
1937,Information Technology, Postgraduate courses ," London, England, United Kingdom ",18664 EUR,year,1 year,M.Sc. Full-time
1938,Health Informatics, Swansea University Medical School ," Swansea, Wales, United Kingdom ",12408 EUR,year,1 year,M.Res. Full-time Part-time
1939,Software Engineering for Information Systems, Free University of Bozen-Bolzano ," Bolzano - Bozen, Italy ",748 EUR,year,2 years,M.Sc. Full-time
